Data/Hora;Energia ativa (kWh)
2024-01-01 00:00:00+00:00;21828.38119554828
2024-01-01 01:00:00+00:00;19464.59012919513
2024-01-01 02:00:00+00:00;18103.39286171231
2024-01-01 03:00:00+00:00;17332.589634789125
2024-01-01 04:00:00+00:00;17217.162584307775
2024-01-01 05:00:00+00:00;17429.664435309613
2024-01-01 06:00:00+00:00;19231.748210303555
2024-01-01 07:00:00+00:00;23027.25708119081
2024-01-01 08:00:00+00:00;27712.9074645244
2024-01-01 09:00:00+00:00;31026.96738030828
2024-01-01 10:00:00+00:00;32193.849237949766
2024-01-01 11:00:00+00:00;32650.668047989202
2024-01-01 12:00:00+00:00;32913.82215709942
2024-01-01 13:00:00+00:00;31889.48644131056
2024-01-01 14:00:00+00:00;31509.477069460423
2024-01-01 15:00:00+00:00;31226.108520110654
2024-01-01 16:00:00+00:00;31295.257046253286
2024-01-01 17:00:00+00:00;31820.407065503077
2024-01-01 18:00:00+00:00;34071.62727458989
2024-01-01 19:00:00+00:00;37417.653259188264
2024-01-01 20:00:00+00:00;37329.554790626855
2024-01-01 21:00:00+00:00;34458.401444164796
2024-01-01 22:00:00+00:00;31021.801439922627
2024-01-01 23:00:00+00:00;26527.260490085504
2024-01-02 00:00:00+00:00;22743.408361680442
2024-01-02 01:00:00+00:00;20467.107561695157
2024-01-02 02:00:00+00:00;19043.554204078468
2024-01-02 03:00:00+00:00;18337.858942427454
2024-01-02 04:00:00+00:00;18099.550299997103
2024-01-02 05:00:00+00:00;18174.24049616241
2024-01-02 06:00:00+00:00;19804.6176916581
2024-01-02 07:00:00+00:00;23124.266018967952
2024-01-02 08:00:00+00:00;26759.233351734805
2024-01-02 09:00:00+00:00;29516.848592397444
2024-01-02 10:00:00+00:00;31080.212342698396
2024-01-02 11:00:00+00:00;32250.40489957726
2024-01-02 12:00:00+00:00;32511.591834887495
2024-01-02 13:00:00+00:00;31202.029592302635
2024-01-02 14:00:00+00:00;30969.939778829386
2024-01-02 15:00:00+00:00;30152.480039678157
2024-01-02 16:00:00+00:00;30193.437257320664
2024-01-02 17:00:00+00:00;30834.880489973748
2024-01-02 18:00:00+00:00;33526.205878038396
2024-01-02 19:00:00+00:00;37032.65214778764
2024-01-02 20:00:00+00:00;37168.600057507945
2024-01-02 21:00:00+00:00;34643.99356914286
2024-01-02 22:00:00+00:00;30893.130826324315
2024-01-02 23:00:00+00:00;26794.67740616998
2024-01-03 00:00:00+00:00;22971.68055245806
2024-01-03 01:00:00+00:00;20667.38553295614
2024-01-03 02:00:00+00:00;19340.80972191601
2024-01-03 03:00:00+00:00;18430.529531612538
2024-01-03 04:00:00+00:00;18220.01365918114
2024-01-03 05:00:00+00:00;18303.70710962441
2024-01-03 06:00:00+00:00;19995.93103889817
2024-01-03 07:00:00+00:00;24071.700311127057
2024-01-03 08:00:00+00:00;28402.828217620256
2024-01-03 09:00:00+00:00;31305.319886021687
2024-01-03 10:00:00+00:00;32317.992885857635
2024-01-03 11:00:00+00:00;32987.3518876212
2024-01-03 12:00:00+00:00;33373.30888011717
2024-01-03 13:00:00+00:00;32321.174998790964
2024-01-03 14:00:00+00:00;31975.061282806233
2024-01-03 15:00:00+00:00;31215.45175685174
2024-01-03 16:00:00+00:00;31365.668340076412
2024-01-03 17:00:00+00:00;31629.52883883513
2024-01-03 18:00:00+00:00;33990.416160988134
2024-01-03 19:00:00+00:00;37268.23313574405
2024-01-03 20:00:00+00:00;37022.51021876894
2024-01-03 21:00:00+00:00;34255.92858701315
2024-01-03 22:00:00+00:00;30570.72139459935
2024-01-03 23:00:00+00:00;26369.55238726555
2024-01-04 00:00:00+00:00;22535.318643136416
2024-01-04 01:00:00+00:00;20250.903143648186
2024-01-04 02:00:00+00:00;18856.223896871936
2024-01-04 03:00:00+00:00;18208.000654221658
2024-01-04 04:00:00+00:00;18045.508516816837
2024-01-04 05:00:00+00:00;18277.984626325677
2024-01-04 06:00:00+00:00;19962.957988656897
2024-01-04 07:00:00+00:00;24063.910586845577
2024-01-04 08:00:00+00:00;28568.017251823352
2024-01-04 09:00:00+00:00;31547.639418199687
2024-01-04 10:00:00+00:00;33081.418153321094
2024-01-04 11:00:00+00:00;33668.832722497435
2024-01-04 12:00:00+00:00;34056.80812517702
2024-01-04 13:00:00+00:00;33324.61565947978
2024-01-04 14:00:00+00:00;33023.56533941305
2024-01-04 15:00:00+00:00;32448.512684521447
2024-01-04 16:00:00+00:00;32561.550695580194
2024-01-04 17:00:00+00:00;32858.87215550977
2024-01-04 18:00:00+00:00;34820.74797994645
2024-01-04 19:00:00+00:00;38025.060993083236
2024-01-04 20:00:00+00:00;37578.59516589253
2024-01-04 21:00:00+00:00;34859.25684198243
2024-01-04 22:00:00+00:00;31215.53152351505
2024-01-04 23:00:00+00:00;25450.06307044178
2024-01-05 00:00:00+00:00;22930.551934415096
2024-01-05 01:00:00+00:00;20572.7956660664
2024-01-05 02:00:00+00:00;19251.518627606398
2024-01-05 03:00:00+00:00;18442.004275359785
2024-01-05 04:00:00+00:00;18337.51763021642
2024-01-05 05:00:00+00:00;18219.316803529833
2024-01-05 06:00:00+00:00;19838.17647498959
2024-01-05 07:00:00+00:00;23857.723801659864
2024-01-05 08:00:00+00:00;28574.863874906776
2024-01-05 09:00:00+00:00;31772.274569077235
2024-01-05 10:00:00+00:00;33039.68237046498
2024-01-05 11:00:00+00:00;33530.689233910176
2024-01-05 12:00:00+00:00;33397.59755189881
2024-01-05 13:00:00+00:00;32120.70045603679
2024-01-05 14:00:00+00:00;32009.603827598206
2024-01-05 15:00:00+00:00;31614.54695553583
2024-01-05 16:00:00+00:00;31747.97886040044
2024-01-05 17:00:00+00:00;31559.11285482344
2024-01-05 18:00:00+00:00;33560.94826289008
2024-01-05 19:00:00+00:00;35755.88116369269
2024-01-05 20:00:00+00:00;35332.34965178751
2024-01-05 21:00:00+00:00;32813.104544713904
2024-01-05 22:00:00+00:00;30190.25652680314
2024-01-05 23:00:00+00:00;25906.53968155294
2024-01-06 00:00:00+00:00;22278.906420210657
2024-01-06 01:00:00+00:00;19996.3995903088
2024-01-06 02:00:00+00:00;18450.97193468318
2024-01-06 03:00:00+00:00;17515.37531710479
2024-01-06 04:00:00+00:00;17271.03516439726
2024-01-06 05:00:00+00:00;17283.960219168053
2024-01-06 06:00:00+00:00;17987.49708051865
2024-01-06 07:00:00+00:00;19247.906622160404
2024-01-06 08:00:00+00:00;22001.992101821994
2024-01-06 09:00:00+00:00;25365.670179428726
2024-01-06 10:00:00+00:00;27339.663729869055
2024-01-06 11:00:00+00:00;28501.252128630556
2024-01-06 12:00:00+00:00;29911.493620221518
2024-01-06 13:00:00+00:00;29003.869187541677
2024-01-06 14:00:00+00:00;27722.522715054172
2024-01-06 15:00:00+00:00;27044.727209430403
2024-01-06 16:00:00+00:00;26843.847691208848
2024-01-06 17:00:00+00:00;27993.600180626046
2024-01-06 18:00:00+00:00;30987.982841832178
2024-01-06 19:00:00+00:00;33207.905933841634
2024-01-06 20:00:00+00:00;32677.22673713405
2024-01-06 21:00:00+00:00;30212.252733660745
2024-01-06 22:00:00+00:00;27927.189918243366
2024-01-06 23:00:00+00:00;24360.0870216896
2024-01-07 00:00:00+00:00;21147.15222005831
2024-01-07 01:00:00+00:00;18993.406322679086
2024-01-07 02:00:00+00:00;17558.748093984672
2024-01-07 03:00:00+00:00;16710.372486959815
2024-01-07 04:00:00+00:00;16321.902144818741
2024-01-07 05:00:00+00:00;16350.45282477254
2024-01-07 06:00:00+00:00;16694.364545718523
2024-01-07 07:00:00+00:00;17510.008133142906
2024-01-07 08:00:00+00:00;19590.865379173956
2024-01-07 09:00:00+00:00;23045.51800696063
2024-01-07 10:00:00+00:00;25950.025446633976
2024-01-07 11:00:00+00:00;27775.228163923
2024-01-07 12:00:00+00:00;29553.020944557946
