cp7,consumo_anual_kwh,n_registos,producao_total_kwh,balanco_kwh,taxa_autossuficiencia_%
3800-003,1658401.412447,17544,884768.811825136,-773632.600621864,53.350702983281
3800-004,779742.94113,17544,384728.67913328,-395014.26199672004,49.34045040224832
3800-005,606026.3808475,17544,194052.5502026016,-411973.83064489847,32.02047903116495
3800-006,447365.405953,17544,249212.2730338688,-198153.1329191312,55.706648238252676
3800-007,168565.1629645,17544,61638.737133737595,-106926.4258307624,36.56671167975484
3800-008,750532.240082,17544,535929.49067568,-214602.74940632004,71.40659148994406
3800-009,2079324.5432165,17544,239271.11731434878,-1840053.4259021513,11.507155922096755
3800-011,449728.5640005,17544,60406.5100475456,-389322.0539529544,13.431770824207295
3800-012,1284077.1137105,17544,449166.41711690876,-834910.6965935912,34.9797073961537
3800-013,693634.7049825,17544,80419.7828194176,-613214.9221630825,11.593967580016997
3800-018,304496.731866,17544,293551.0181004992,-10945.713765500812,96.4053099360299
3800-019,395879.826271,17544,238456.775935648,-157423.05033535202,60.23463690529462
3800-020,105237.727371,17544,117989.01753620477,12751.290165204773,112.11665291882633
3800-022,276401.212558,17544,226751.2138956096,-49649.9986623904,82.03698232620023
3800-025,596212.354051,17544,1475536.574787859,879324.2207368591,247.48507218313054
3800-026,1205767.872067,17544,950523.306482512,-255244.56558448798,78.8313678364201
3800-027,272277.049847,17544,2721922.962174141,2449645.912327141,999.6887228298032
3800-032,351118.475522,17544,1086586.1785071038,735467.7029851038,309.46425615789667
3800-034,810799.059276,17544,334225.226962976,-476573.83231302403,41.22170877472664
3800-035,229965.788327,17544,765983.3112737983,536017.5229467984,333.08576760322626
3800-038,178629.2196415,17544,1090854.327399856,912225.1077583559,610.6807887249055
3800-043,5641434.250289,17544,4991950.749278182,-649483.5010108175,88.48726277404464
3800-044,159157.214911,17544,539077.3248939328,379920.1099829328,338.70743792254876
3800-047,181946.60899,17544,660923.7489608256,478977.13997082564,363.2514794475509
3800-048,207737.9358215,17544,975157.1331882111,767419.1973667111,469.416974483717
3800-051,426848.1293095,17544,380352.18950154877,-46495.93980795122,89.10714687137873
3800-054,270162.960617,17544,949341.0828143104,679178.1221973104,351.3957208072486
3800-055,29878399.447781,17544,1240140.7223677663,-28638258.725413233,4.150626356459227
3800-056,360377.690184,17544,1880946.4294904543,1520568.7393064543,521.9375340715707
3800-063,304786.0937605,17544,568588.8659688385,263802.7722083384,186.55341487319754
3800-065,437856.011558,17544,1341353.593168192,903497.5816101921,306.3458209458685
3800-071,693763.81951,17544,27395.9202708832,-666367.8992391167,3.9488828186849996
3800-072,367997.780983,17544,170325.9283661568,-197671.8526168432,46.284498757351244
3800-079,151440.2865205,17544,695416.582913632,543976.2963931321,459.2018404689796
3800-087,626260.5111525,17544,2015325.8531093695,1389065.3419568695,321.8031182264053
3800-088,1096466.9274155,17544,387649.1168554336,-708817.8105600663,35.35438298801841
3800-089,67279.945871,17544,337956.43439111684,270676.48852011684,502.3137727237498
3800-090,95689.214736,17544,173109.4519676224,77420.23723162239,180.90800770517296
3800-091,518874.051391,17544,328285.5352402592,-190588.5161507408,63.26882879577227
3800-093,104166.4148755,17544,189264.1276512352,85097.7127757352,181.69400173505466
3800-094,145470.976743,17544,402696.5739978304,257225.59725483038,276.8226233259329
3800-095,442081.2169105,17544,227607.22478930242,-214473.9921211976,51.485386866228666
3800-096,671119.1174585,17544,576359.6352360608,-94759.48222243914,85.88037804953473
3800-097,133296.249837,17544,281275.178983856,147978.92914685598,211.01507306305356
3800-098,253884.519566,17544,267051.5876807296,13167.068114729569,105.18624299631891
3800-099,254123.839518,17544,450315.3051731168,196191.4656551168,177.20309358902955
3800-100,504973.715829,17544,914635.1390562592,409661.4232272592,181.12529630472557
3800-102,147667.936453,17544,293661.7399546208,145993.80350162077,198.86628540251047
3800-103,209882.602516,17544,260128.4954042016,50245.892888201575,123.9399989736506
3800-104,62566.164227,17544,213259.8154987712,150693.6512717712,340.8548664179422
3800-105,223357.998459,17544,253467.3257933376,30109.327334337606,113.48029958276355
3800-106,341500.0748485,17544,118670.01646693119,-222830.05838156882,34.74963117345637
3800-109,146338.015282,17544,524463.2307074527,378125.21542545274,358.3916521600954
3800-110,157780.97218,17544,320101.6424958304,162320.67031583042,202.87721521366427
3800-111,1267530.047702,17544,421868.122566864,-845661.925135136,33.2826920617543
3800-112,1614756.007205,17544,1241286.038751261,-373469.96845373884,76.87143030976038
3800-113,591984.525409,17544,1158997.0805450592,567012.5551360592,195.7816515126493
3800-114,263371.377017,17544,384466.756467616,121095.37945061602,145.97894456951545
3800-117,1258014.479843,17544,147054.0995219104,-1110960.3803210896,11.689380518121121
3800-118,229182.5545005,17544,731490.477320992,502307.92282049207,319.1737167409032
3800-119,155237.422002,17544,381591.559933168,226354.137931168,245.8115801022847
3800-121,180154.989279,17544,94510.0316745696,-85644.9576044304,52.46040204204674
3800-122,100129.103181,17544,924512.0046669344,824382.9014859344,923.3199692158685
3800-125,1271621.3520165,17544,1511839.0562488895,240217.70423238957,118.89066299897051
3800-126,335983.078792,17544,172767.76194468798,-163215.31684731203,51.42156639729015
3800-127,773442.020974,17544,679320.244551008,-94121.776422992,87.83079094869142
3800-128,180659.048151,17544,1146614.0912470082,965955.0430960082,634.6840100079767
3800-129,1312937.040865,17544,1388125.837910355,75188.79704535496,105.72676333328354
3800-132,614241.758367,17544,3705677.1115839873,3091435.353216987,603.2929316684299
3800-136,131234.6589285,17544,214488.4709122496,83253.81198374962,163.4388908109316
3800-139,154894.485819,17544,340497.0842480576,185602.59842905763,219.82518128239968
3800-141,273128.8716615,17544,358907.8665290944,85778.99486759439,131.4060517827291
3800-142,217913.5808005,17544,242408.2365144608,24494.65571396079,111.24053655764837
3800-146,1657314.614148,17544,311948.7042482528,-1345365.9098997472,18.82253988381203
