Latitude (decimal degrees):	40.593
Longitude (decimal degrees):	-8.585
Elevation (m):	50
Radiation database:	PVGIS-SARAH3


Slope: 34 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,9.22,1.24,0.0
20180101:0110,0.0,0.0,7.91,1.38,0.0
20180101:0210,0.0,0.0,6.38,1.66,0.0
20180101:0310,0.0,0.0,6.05,1.72,0.0
20180101:0410,0.0,0.0,5.4,2.0,0.0
20180101:0510,0.0,0.0,5.73,2.0,0.0
20180101:0610,0.0,0.0,5.85,2.07,0.0
20180101:0710,0.0,0.0,6.76,2.34,0.0
20180101:0810,0.0,0.0,7.96,2.28,0.0
20180101:0910,85.52,10.2,9.48,2.28,0.0
20180101:1010,161.04,17.74,11.85,2.34,0.0
20180101:1110,391.18,23.22,13.66,3.1,0.0
20180101:1210,176.84,26.08,14.44,4.48,0.0
20180101:1310,328.66,25.95,15.05,5.72,0.0
20180101:1410,133.27,22.86,15.09,5.59,0.0
20180101:1510,114.16,17.19,15.05,4.76,0.0
20180101:1610,79.78,9.5,14.55,3.38,0.0
20180101:1710,0.0,0.0,13.76,2.69,0.0
20180101:1810,0.0,0.0,12.36,2.21,0.0
20180101:1910,0.0,0.0,11.93,2.0,0.0
20180101:2010,0.0,0.0,11.63,2.07,0.0
20180101:2110,0.0,0.0,11.27,2.21,0.0
20180101:2210,0.0,0.0,10.93,2.28,0.0
20180101:2310,0.0,0.0,10.91,2.21,0.0
20180102:0010,0.0,0.0,10.73,2.07,0.0
20180102:0110,0.0,0.0,10.47,2.07,0.0
20180102:0210,0.0,0.0,10.49,1.93,0.0
20180102:0310,0.0,0.0,10.34,1.93,0.0
20180102:0410,0.0,0.0,10.17,2.0,0.0
20180102:0510,0.0,0.0,10.27,2.07,0.0
20180102:0610,0.0,0.0,10.87,2.0,0.0
20180102:0710,0.0,0.0,10.92,2.21,0.0
20180102:0810,0.0,0.0,11.26,2.34,0.0
20180102:0910,151.24,10.21,11.76,2.55,0.0
20180102:1010,135.06,17.77,12.6,2.62,0.0
20180102:1110,59.59,23.27,13.14,2.69,0.0
20180102:1210,86.59,26.15,13.38,3.1,0.0
20180102:1310,114.52,26.05,13.92,3.38,0.0
20180102:1410,72.62,22.97,14.15,3.24,0.0
20180102:1510,50.28,17.31,14.37,3.31,0.0
20180102:1610,11.17,9.63,14.42,3.31,0.0
20180102:1710,0.0,0.0,14.16,2.97,0.0
20180102:1810,0.0,0.0,14.01,2.83,0.0
20180102:1910,0.0,0.0,13.76,2.69,0.0
20180102:2010,0.0,0.0,13.73,2.62,0.0
20180102:2110,0.0,0.0,13.71,2.48,0.0
20180102:2210,0.0,0.0,13.65,2.48,0.0
20180102:2310,0.0,0.0,13.66,2.48,0.0
20180103:0010,0.0,0.0,13.64,2.55,0.0
20180103:0110,0.0,0.0,13.58,2.62,0.0
20180103:0210,0.0,0.0,13.61,2.55,0.0
20180103:0310,0.0,0.0,13.65,2.41,0.0
20180103:0410,0.0,0.0,13.68,2.21,0.0
20180103:0510,0.0,0.0,13.7,2.07,0.0
20180103:0610,0.0,0.0,13.76,2.07,0.0
20180103:0710,0.0,0.0,13.54,2.28,0.0
20180103:0810,0.0,0.0,13.6,2.14,0.0
20180103:0910,38.17,10.22,13.81,2.34,0.0
20180103:1010,67.04,17.8,14.18,2.76,0.0
20180103:1110,74.49,23.33,14.58,3.1,0.0
20180103:1210,108.01,26.23,15.0,3.03,0.0
20180103:1310,158.62,26.15,15.66,3.31,0.0
20180103:1410,175.07,23.09,15.71,3.31,0.0
20180103:1510,128.72,17.45,15.59,3.17,0.0
20180103:1610,83.81,9.77,15.23,2.69,0.0
20180103:1710,0.0,0.0,14.72,2.0,0.0
20180103:1810,0.0,0.0,14.19,1.45,0.0
