Nome,Latitude,Longitude
CMA,40.64054266,-8.653240747
Edifício Centro de Congressos de Aveiro,40.63822866,-8.64386462
Edifício da Antiga Capitania (Casa dos Arcos),40.6417318,-8.652565543
Edifício da Assembleia Municipal de Aveiro,40.64169467,-8.652177274
Antiga Junta de Freguesia da Vera Cruz (Escola do Adro),40.64343899,-8.651052491
Museu de Aveiro,40.63946994,-8.650981191
Museu de Santa Joana,40.633868,-8.620157
Museu de arte nova,40.64192355,-8.655558774
Ecomuseu Marinha da Troncalhada,40.64526228,-8.661925016
teatro aveirense,40.64017385,-8.653610578
ATLAS - Biblioteca Municipal de Aveiro,40.6410146,-8.654083362
Escola C+S João Afonso de Aveiro,40.63332256,-8.653492945
Escola Secundária José Estêvão,40.63780047,-8.647922631
Escola Básica 2º e 3º Ciclos João Afonso de Aveiro,40.63219908,-8.65420923
Escola Básica 1º Ciclo De Santiago,40.62762608,-8.648642243
EB1 de Glória,40.63797039,-8.652517566
Escola E B 1, 2 e 3 De São Bernardo,40.62368458,-8.636337562
Escolas Dr. Mário Sacramento,40.6365277,-8.645922439
Agrupamento de Escolas de Aveiro - ES Homem Cristo,40.64077064,-8.654174242
Centro Escolar das Barrocas,40.64995756,-8.640287902
EB 1 de São Jacinto,40.66318641,-8.73122098
EB 1 da Vera Cruz,40.64548891,-8.651043993
Parque de Exposições de Aveiro,40.63404492,-8.631260866
