ptd_id,zona
67,Esgueira
96,Esgueira
298,Aveiro (Gl贸ria e Vera Cruz)
478,Aveiro (Gl贸ria e Vera Cruz)
120,Aveiro (Gl贸ria e Vera Cruz)
408,Esgueira
413,Cacia
380,Cacia
110,Cacia
121,Cacia
78,Cacia
481,Cacia
183,Cacia
245,Cacia
265,Aveiro (Gl贸ria e Vera Cruz)
266,Aveiro (Gl贸ria e Vera Cruz)
362,Aveiro (Gl贸ria e Vera Cruz)
469,Aveiro (Gl贸ria e Vera Cruz)
488,Aveiro (Gl贸ria e Vera Cruz)
280,Cacia
262,Esgueira
250,Cacia
37,Cacia
457,Cacia
6,Cacia
292,Cacia
168,Cacia
190,Cacia
378,Aveiro (Gl贸ria e Vera Cruz)
491,Aveiro (Gl贸ria e Vera Cruz)
92,Aveiro (Gl贸ria e Vera Cruz)
401,Aveiro (Gl贸ria e Vera Cruz)
319,Aveiro (Gl贸ria e Vera Cruz)
185,Aveiro (Gl贸ria e Vera Cruz)
348,Aveiro (Gl贸ria e Vera Cruz)
371,Aveiro (Gl贸ria e Vera Cruz)
220,Aveiro (Gl贸ria e Vera Cruz)
20,Aveiro (Gl贸ria e Vera Cruz)
143,Aveiro (Gl贸ria e Vera Cruz)
477,Aveiro (Gl贸ria e Vera Cruz)
77,Esgueira
144,Esgueira
85,Esgueira
61,Esgueira
333,Cacia
207,Cacia
229,Aveiro (Gl贸ria e Vera Cruz)
135,Aveiro (Gl贸ria e Vera Cruz)
475,Aveiro (Gl贸ria e Vera Cruz)
373,Aveiro (Gl贸ria e Vera Cruz)
193,Aveiro (Gl贸ria e Vera Cruz)
297,Aveiro (Gl贸ria e Vera Cruz)
117,Aveiro (Gl贸ria e Vera Cruz)
442,Aveiro (Gl贸ria e Vera Cruz)
384,Cacia
126,Aveiro (Gl贸ria e Vera Cruz)
171,Aveiro (Gl贸ria e Vera Cruz)
33,Aveiro (Gl贸ria e Vera Cruz)
113,Aveiro (Gl贸ria e Vera Cruz)
167,Aveiro (Gl贸ria e Vera Cruz)
1,Cacia
140,Cacia
104,Cacia
223,Esgueira
141,Aveiro (Gl贸ria e Vera Cruz)
53,Aveiro (Gl贸ria e Vera Cruz)
119,Aveiro (Gl贸ria e Vera Cruz)
286,Aveiro (Gl贸ria e Vera Cruz)
486,Aveiro (Gl贸ria e Vera Cruz)
376,Aveiro (Gl贸ria e Vera Cruz)
354,Cacia
205,Cacia
172,Esgueira
437,Cacia
72,Cacia
93,Cacia
151,Cacia
160,Cacia
441,Esgueira
381,Esgueira
459,Cacia
269,Cacia
109,Cacia
156,Aveiro (Gl贸ria e Vera Cruz)
182,Cacia
257,Cacia
284,Cacia
418,Eixo
416,Cacia
271,Aveiro (Gl贸ria e Vera Cruz)
178,Aveiro (Gl贸ria e Vera Cruz)
267,Aveiro (Gl贸ria e Vera Cruz)
