ptd_id;total_paineis_reais;potencia_real_kwp;producao_real_mwh_ano;consumo_anual_kwh;n_cp7_com_consumo;producao_anual_kwh;autoconsumo_kwh;excedente_kwh;racio_autossuficiencia;poupanca_ano1_eur;custo_instalacao_eur;val_eur;tir_pct;payback_anos
0;502;225.9;336.17534400000005;0.0;;336175.34400000004;0.0;336175.34400000004;;16808.767200000002;602400;-415651.3719006103;-3.084936894976126;
1;755;339.75;505.6023600000001;850352.8119952531;2.0;505602.3600000001;505602.3600000001;0.0;0.5945795120188566;126400.59000000003;906000;498334.8029386381;12.775490981093062;8.0
2;1197;538.65;801.597384;0.0;;801597.3840000001;0.0;801597.3840000001;;40079.86920000001;1436400;-991104.9644721723;-3.084936894976126;
4;1676;754.2;1122.370272;813496.4010444324;2.0;1122370.272;813496.4010444324;308873.8709555677;1.3796868315078106;218817.7938088865;2011200;419907.66609610023;9.28893477574585;10.0
5;607;273.15000000000003;406.4909040000001;474150.3232817032;1.0;406490.9040000001;406490.9040000001;0.0;0.8573038634384624;101622.72600000002;728400;400647.9806407329;12.775490981093062;8.0
6;179;80.55;119.871288;125207.71995740084;1.0;119871.288;119871.288;0.0;0.9573793695850668;29967.822;214800;118148.25129273666;12.775490981093062;8.0
7;108;48.6;72.32457600000001;912943.3119773187;2.0;72324.576;72324.576;0.0;0.07922132190590694;18081.144;129600;71284.97843360646;12.775490981093062;8.0
8;1912;860.4;1280.4128640000001;791333.2613947059;3.0;1280412.864;791333.2613947059;489079.6026052942;1.618045046840699;222287.29547894117;2294400;175254.49522175186;7.855847441786567;11.0
10;2264;1018.8000000000001;1516.1374080000003;510288.34743802325;1.0;1516137.4080000003;510288.34743802325;1005849.0605619771;2.9711386035209078;177864.53988760465;2716800;-740690.8412307983;3.6929885478686475;16.0
11;2015;906.75;1349.3890800000001;356429.38737024623;2.0;1349389.08;356429.38737024623;992959.6926297538;3.7858524796618482;138755.33147404925;2418000;-876401.6492146573;2.478229593274317;19.0
12;1775;798.75;1188.6678;751014.3720989055;2.0;1188667.8;751014.3720989055;437653.42790109455;1.5827497371028438;209636.2644197811;2130000;199099.113245796;8.044185610924382;11.0
14;1267;570.15;848.4744240000001;680798.9349003147;2.0;848474.4240000001;680798.9349003147;167675.48909968545;1.2462922318235372;178583.50818006293;1520400;463697.0344215898;10.297629325001523;9.0
17;2648;1191.6000000000001;1773.2914560000002;3583966.430344234;2.0;1773291.4560000002;1773291.4560000002;0.0;0.49478461655950234;443322.86400000006;3177600;1747802.063816574;12.775490981093062;8.0
18;240;108.0;160.72128000000004;0.0;;160721.28000000003;0.0;160721.28000000003;;8036.064000000002;288000;-198717.78736284163;-3.084936894976126;
20;395;177.75;264.52044;1368771.5604666143;2.0;264520.44;264520.44;0.0;0.19325389834211998;66130.11;474000;260718.20815994957;12.775490981093062;8.0
22;1416;637.2;948.2555520000002;544327.7244544391;1.0;948255.5520000001;544327.7244544391;403927.827545561;1.742067341784591;156278.32249088783;1699200;37082.14250283035;7.2469938422368045;12.0
24;747;336.15000000000003;500.2449840000001;206914.61577385772;1.0;500244.9840000001;206914.61577385772;293330.36822614237;2.41763967291093;66395.17235477155;896400;-158736.89823034062;4.906665584454483;15.0
25;361;162.45000000000002;241.75159200000007;133113.9020260055;1.0;241751.59200000006;133113.9020260055;108637.68997399457;1.8161258014416166;38710.3600052011;433200;-3120.47434598354;6.9180121027644255;12.0
26;848;381.6;567.8818560000001;440799.48251444596;2.0;567881.856;440799.48251444596;127082.37348555407;1.2882997338396134;116553.9893028892;1017600;277337.18027253664;9.96012535679699;9.0
27;1605;722.25;1074.82356;1255402.474661156;4.0;1074823.56;1074823.56;0.0;0.8561585481103215;268705.89;1926000;1059373.985054985;12.775490981093062;8.0
29;525;236.25;351.5778;151233.1178658892;1.0;351577.80000000005;151233.1178658892;200344.68213411086;2.3247408038745383;47825.51357317784;630000;-98649.36960161464;5.158304913780276;14.0
30;656;295.2;439.30483200000003;692685.8202971615;1.0;439304.83200000005;439304.83200000005;0.0;0.634205030805364;109826.20800000001;787200;432990.23937449884;12.775490981093062;8.0
31;198;89.10000000000001;132.595056;166582.1987831464;1.0;132595.056;132595.056;0.0;0.7959737413035939;33148.764;237600;130689.12712827852;12.775490981093062;8.0
32;1008;453.6;675.0293760000002;429988.97143523255;1.0;675029.3760000002;429988.97143523255;245040.4045647676;1.569876022045084;119749.26308704652;1209600;120837.28497940222;8.114711321403167;11.0
33;434;195.3;290.63764800000007;2716078.434986108;3.0;290637.64800000004;290637.64800000004;0.0;0.10700635307738694;72659.41200000001;520800;286460.005927641;12.775490981093062;8.0
34;350;157.5;234.3852;0.0;;234385.2;0.0;234385.2;;11719.260000000002;420000;-289796.7732374773;-3.084936894976126;
35;1226;551.7;821.0178720000001;578866.0130733037;2.0;821017.8720000001;578866.0130733037;242151.85892669635;1.418321085463402;156824.09621466076;1471200;271145.79327236983;9.028171612174718;10.0
36;493;221.85;330.148296;167020.60364304378;1.0;330148.29600000003;167020.60364304378;163127.69235695625;1.9766920295988903;49911.53552860876;591600;-37073.26550506133;6.27855498105917;13.0
37;1598;719.1;1070.135856;1536137.3616463202;4.0;1070135.8560000001;1070135.8560000001;0.0;0.6966407319545346;267533.96400000004;1917600;1054753.6623787328;12.775490981093062;8.0
38;864;388.8;578.5966080000001;481461.3068637004;2.0;578596.608;481461.3068637004;97135.30113629962;1.2017510021086661;125222.09177274008;1036800;354441.4615567455;10.678225122388818;9.0
39;462;207.9;309.38846400000006;809689.8950362244;1.0;309388.46400000004;309388.46400000004;0.0;0.38210735479928204;77347.11600000001;554400;304941.29663265;12.775490981093062;8.0
42;3216;1447.2;2153.665152;1139675.5597156293;4.0;2153665.1520000002;1139675.5597156293;1013989.5922843709;1.8897177654115709;335618.36954312585;3859200;-130415.53107519043;6.613296029153803;12.0
43;469;211.05;314.076168;249117.82139641588;1.0;314076.168;249117.82139641588;64958.34660358413;1.2607535110875;65527.37267928317;562800;165221.6809007602;10.179197466473589;9.0
48;49;22.05;32.813928000000004;0.0;;32813.92800000001;0.0;32813.92800000001;;1640.6964000000005;58800;-40571.548253246816;-3.084936894976126;
50;3277;1474.65;2194.5151440000004;1001163.6600779002;2.0;2194515.1440000003;1001163.6600779002;1193351.4839221002;2.1919644424861024;309958.48921558005;3932400;-488701.72397360316;5.549513194290812;14.0
51;1658;746.1;1110.316176;1012237.5947613611;3.0;1110316.176;1012237.5947613611;98078.58123863884;1.0968928458557807;257963.32775227222;1989600;876422.0576848767;11.681942543578606;8.0
52;1822;819.9;1220.142384;789642.6869570999;3.0;1220142.384;789642.6869570999;430499.69704290014;1.5451829088696272;218935.65659142;2186400;246017.1442202374;8.252845855141333;11.0
53;120;54.0;80.36064000000002;0.0;;80360.64000000001;0.0;80360.64000000001;;4018.032000000001;144000;-99358.89368142081;-3.084936894976126;
55;59;26.55;39.51064800000001;0.0;;39510.64800000001;0.0;39510.64800000001;;1975.5324000000005;70800;-48851.45606003188;-3.084936894976126;
56;1023;460.35;685.0744560000002;733596.8547402257;2.0;685074.4560000001;685074.4560000001;0.0;0.9338568609902126;171268.61400000003;1227600;675227.1568294391;12.775490981093062;8.0
57;1365;614.25;914.1022800000002;207624.9621141792;1.0;914102.2800000001;207624.9621141792;706477.317885821;4.402660791322904;87230.10642283584;1638000;-668856.783867626;1.8228699751318467;20.0
58;617;277.65000000000003;413.1876240000001;0.0;;413187.62400000007;0.0;413187.62400000007;;20659.381200000003;740400;-510870.3116786388;-3.084936894976126;
60;491;220.95000000000002;328.80895200000003;504282.91731213406;1.0;328808.95200000005;328808.95200000005;0.0;0.6520326997245446;82202.23800000001;589200;324082.6334342666;12.775490981093062;8.0
61;1160;522.0;776.81952;0.0;;776819.52;0.0;776819.52;;38840.976;1392000;-960469.3055870676;-3.084936894976126;
64;406;182.70000000000002;271.886832;463330.8102274624;1.0;271886.83200000005;271886.83200000005;0.0;0.5868093077309557;67971.70800000001;487200;267978.71522263193;12.775490981093062;8.0
