time,H_sun,T2m,WS10m,Int,G(i),P_W,Energy_kWh
2018-01-01 00:10:00,0.0,9.22,1.24,0.0,0.0,0.0,0.0
2018-01-01 01:10:00,0.0,7.91,1.38,0.0,0.0,0.0,0.0
2018-01-01 02:10:00,0.0,6.38,1.66,0.0,0.0,0.0,0.0
2018-01-01 03:10:00,0.0,6.05,1.72,0.0,0.0,0.0,0.0
2018-01-01 04:10:00,0.0,5.4,2.0,0.0,0.0,0.0,0.0
2018-01-01 05:10:00,0.0,5.73,2.0,0.0,0.0,0.0,0.0
2018-01-01 06:10:00,0.0,5.85,2.07,0.0,0.0,0.0,0.0
2018-01-01 07:10:00,0.0,6.76,2.34,0.0,0.0,0.0,0.0
2018-01-01 08:10:00,0.0,7.96,2.28,0.0,0.0,0.0,0.0
2018-01-01 09:10:00,10.2,9.48,2.28,0.0,85.52,33.09624,0.03309624
2018-01-01 10:10:00,17.74,11.85,2.34,0.0,161.04,62.32247999999999,0.06232247999999999
2018-01-01 11:10:00,23.22,13.66,3.1,0.0,391.18,151.38666,0.15138666
2018-01-01 12:10:00,26.08,14.44,4.48,0.0,176.84,68.43708,0.06843708
2018-01-01 13:10:00,25.95,15.05,5.72,0.0,328.66,127.19142,0.12719142
2018-01-01 14:10:00,22.86,15.09,5.59,0.0,133.27,51.575489999999995,0.051575489999999995
2018-01-01 15:10:00,17.19,15.05,4.76,0.0,114.16,44.17992,0.044179920000000004
2018-01-01 16:10:00,9.5,14.55,3.38,0.0,79.78,30.87486,0.03087486
2018-01-01 17:10:00,0.0,13.76,2.69,0.0,0.0,0.0,0.0
2018-01-01 18:10:00,0.0,12.36,2.21,0.0,0.0,0.0,0.0
2018-01-01 19:10:00,0.0,11.93,2.0,0.0,0.0,0.0,0.0
2018-01-01 20:10:00,0.0,11.63,2.07,0.0,0.0,0.0,0.0
2018-01-01 21:10:00,0.0,11.27,2.21,0.0,0.0,0.0,0.0
2018-01-01 22:10:00,0.0,10.93,2.28,0.0,0.0,0.0,0.0
2018-01-01 23:10:00,0.0,10.91,2.21,0.0,0.0,0.0,0.0
2018-01-02 00:10:00,0.0,10.73,2.07,0.0,0.0,0.0,0.0
2018-01-02 01:10:00,0.0,10.47,2.07,0.0,0.0,0.0,0.0
2018-01-02 02:10:00,0.0,10.49,1.93,0.0,0.0,0.0,0.0
2018-01-02 03:10:00,0.0,10.34,1.93,0.0,0.0,0.0,0.0
2018-01-02 04:10:00,0.0,10.17,2.0,0.0,0.0,0.0,0.0
2018-01-02 05:10:00,0.0,10.27,2.07,0.0,0.0,0.0,0.0
2018-01-02 06:10:00,0.0,10.87,2.0,0.0,0.0,0.0,0.0
2018-01-02 07:10:00,0.0,10.92,2.21,0.0,0.0,0.0,0.0
2018-01-02 08:10:00,0.0,11.26,2.34,0.0,0.0,0.0,0.0
2018-01-02 09:10:00,10.21,11.76,2.55,0.0,151.24,58.529880000000006,0.058529880000000006
2018-01-02 10:10:00,17.77,12.6,2.62,0.0,135.06,52.26822000000001,0.052268220000000004
2018-01-02 11:10:00,23.27,13.14,2.69,0.0,59.59,23.061329999999998,0.023061329999999998
2018-01-02 12:10:00,26.15,13.38,3.1,0.0,86.59,33.510329999999996,0.03351033
2018-01-02 13:10:00,26.05,13.92,3.38,0.0,114.52,44.31924,0.04431924
2018-01-02 14:10:00,22.97,14.15,3.24,0.0,72.62,28.10394,0.02810394
2018-01-02 15:10:00,17.31,14.37,3.31,0.0,50.28,19.45836,0.019458359999999997
2018-01-02 16:10:00,9.63,14.42,3.31,0.0,11.17,4.3227899999999995,0.004322789999999999
2018-01-02 17:10:00,0.0,14.16,2.97,0.0,0.0,0.0,0.0
2018-01-02 18:10:00,0.0,14.01,2.83,0.0,0.0,0.0,0.0
2018-01-02 19:10:00,0.0,13.76,2.69,0.0,0.0,0.0,0.0
2018-01-02 20:10:00,0.0,13.73,2.62,0.0,0.0,0.0,0.0
2018-01-02 21:10:00,0.0,13.71,2.48,0.0,0.0,0.0,0.0
2018-01-02 22:10:00,0.0,13.65,2.48,0.0,0.0,0.0,0.0
2018-01-02 23:10:00,0.0,13.66,2.48,0.0,0.0,0.0,0.0
2018-01-03 00:10:00,0.0,13.64,2.55,0.0,0.0,0.0,0.0
2018-01-03 01:10:00,0.0,13.58,2.62,0.0,0.0,0.0,0.0
2018-01-03 02:10:00,0.0,13.61,2.55,0.0,0.0,0.0,0.0
2018-01-03 03:10:00,0.0,13.65,2.41,0.0,0.0,0.0,0.0
2018-01-03 04:10:00,0.0,13.68,2.21,0.0,0.0,0.0,0.0
2018-01-03 05:10:00,0.0,13.7,2.07,0.0,0.0,0.0,0.0
2018-01-03 06:10:00,0.0,13.76,2.07,0.0,0.0,0.0,0.0
2018-01-03 07:10:00,0.0,13.54,2.28,0.0,0.0,0.0,0.0
2018-01-03 08:10:00,0.0,13.6,2.14,0.0,0.0,0.0,0.0
2018-01-03 09:10:00,10.22,13.81,2.34,0.0,38.17,14.771790000000001,0.014771790000000002
2018-01-03 10:10:00,17.8,14.18,2.76,0.0,67.04,25.944480000000002,0.025944480000000002
2018-01-03 11:10:00,23.33,14.58,3.1,0.0,74.49,28.82763,0.02882763
2018-01-03 12:10:00,26.23,15.0,3.03,0.0,108.01,41.79987,0.041799869999999996
2018-01-03 13:10:00,26.15,15.66,3.31,0.0,158.62,61.385940000000005,0.06138594000000001
2018-01-03 14:10:00,23.09,15.71,3.31,0.0,175.07,67.75209000000001,0.06775209000000001
2018-01-03 15:10:00,17.45,15.59,3.17,0.0,128.72,49.81464,0.04981464
2018-01-03 16:10:00,9.77,15.23,2.69,0.0,83.81,32.43447,0.03243447
2018-01-03 17:10:00,0.0,14.72,2.0,0.0,0.0,0.0,0.0
2018-01-03 18:10:00,0.0,14.19,1.45,0.0,0.0,0.0,0.0
2018-01-03 19:10:00,0.0,13.96,1.86,0.0,0.0,0.0,0.0
2018-01-03 20:10:00,0.0,13.79,1.66,0.0,0.0,0.0,0.0
2018-01-03 21:10:00,0.0,13.67,1.59,0.0,0.0,0.0,0.0
2018-01-03 22:10:00,0.0,13.51,1.52,0.0,0.0,0.0,0.0
