Data/Hora;Código Postal;Energia ativa (kWh);Data;Hora;Código Postal 4 Dígitos;Código Postal 3 Dígitos
2024-02-01T08:00:00+00:00;3800-103;31.565369575220398;2024-02-01;08:00;3800;103
2024-02-11T05:00:00+00:00;3800-607;8.078171794928908;2024-02-11;05:00;3800;607
2024-02-04T10:00:00+00:00;3800-790;49.004000000000005;2024-02-04;10:00;3800;790
2024-02-09T14:00:00+00:00;3800-151;24.272000000000002;2024-02-09;14:00;3800;151
2024-02-19T11:00:00+00:00;3800-102;15.713372890638347;2024-02-19;11:00;3800;102
2024-02-21T12:00:00+00:00;3800-236;22.360797581658055;2024-02-21;12:00;3800;236
2024-02-06T13:00:00+00:00;3800-090;12.5;2024-02-06;13:00;3800;090
2024-02-08T09:00:00+00:00;3800-637;48.775999999999996;2024-02-08;09:00;3800;637
2024-02-13T02:00:00+00:00;3800-254;45.53643353046737;2024-02-13;02:00;3800;254
2024-02-18T09:00:00+00:00;3800-184;46.977909139071954;2024-02-18;09:00;3800;184
2024-02-11T06:00:00+00:00;3800-541;9.138;2024-02-11;06:00;3800;541
2024-02-09T17:00:00+00:00;3800-509;82.02676951414037;2024-02-09;17:00;3800;509
2024-02-24T02:00:00+00:00;3800-226;39.486000000000004;2024-02-24;02:00;3800;226
2024-02-23T15:00:00+00:00;3800-007;27.510831974009466;2024-02-23;15:00;3800;007
2024-02-29T06:00:00+00:00;3800-292;5.145835978705575;2024-02-29;06:00;3800;292
2024-02-05T17:00:00+00:00;3800-751;17.959516022768383;2024-02-05;17:00;3800;751
2024-02-06T11:00:00+00:00;3800-774;45.569844969297336;2024-02-06;11:00;3800;774
2024-02-07T19:00:00+00:00;3800-305;49.032440056964575;2024-02-07;19:00;3800;305
2024-02-12T01:00:00+00:00;3800-867;9.806000000000001;2024-02-12;01:00;3800;867
2024-02-17T12:00:00+00:00;3800-123;13.41427782471288;2024-02-17;12:00;3800;123
2024-02-04T05:00:00+00:00;3800-170;5.675483237827329;2024-02-04;05:00;3800;170
2024-02-15T18:00:00+00:00;3800-585;27.285999999999998;2024-02-15;18:00;3800;585
2024-02-15T23:00:00+00:00;3800-781;14.574000000000002;2024-02-15;23:00;3800;781
2024-02-23T02:00:00+00:00;3800-244;30.19774697721146;2024-02-23;02:00;3800;244
2024-02-29T15:00:00+00:00;3800-004;150.1755040480544;2024-02-29;15:00;3800;004
2024-02-04T08:00:00+00:00;3800-272;13.224;2024-02-04;08:00;3800;272
2024-02-24T20:00:00+00:00;3800-096;94.25812506120965;2024-02-24;20:00;3800;096
2024-02-23T13:00:00+00:00;3800-325;134.21690013783632;2024-02-23;13:00;3800;325
2024-02-16T16:00:00+00:00;3800-306;44.822;2024-02-16;16:00;3800;306
2024-02-22T00:00:00+00:00;3800-565;29.06711707926904;2024-02-22;00:00;3800;565
2024-02-13T02:00:00+00:00;3800-638;14.581999999999999;2024-02-13;02:00;3800;638
2024-02-06T10:00:00+00:00;3800-604;19.053615739085835;2024-02-06;10:00;3800;604
2024-02-11T05:00:00+00:00;3800-751;9.419063715199023;2024-02-11;05:00;3800;751
2024-02-18T17:00:00+00:00;3800-721;29.285587476289038;2024-02-18;17:00;3800;721
2024-02-06T12:00:00+00:00;3800-284;64.09446390746605;2024-02-06;12:00;3800;284
2024-02-27T12:00:00+00:00;3800-271;7.336247266220257;2024-02-27;12:00;3800;271
2024-02-27T18:00:00+00:00;3800-134;41.76704094073093;2024-02-27;18:00;3800;134
2024-02-16T17:00:00+00:00;3800-280;61.42979015914858;2024-02-16;17:00;3800;280
2024-02-19T07:00:00+00:00;3800-619;15.886;2024-02-19;07:00;3800;619
2024-02-01T04:00:00+00:00;3800-531;24.80840862767422;2024-02-01;04:00;3800;531
2024-02-06T04:00:00+00:00;3800-614;10.132000000000001;2024-02-06;04:00;3800;614
2024-02-20T05:00:00+00:00;3800-182;7.413716583952735;2024-02-20;05:00;3800;182
2024-02-06T12:00:00+00:00;3800-774;42.12397067183659;2024-02-06;12:00;3800;774
2024-02-15T07:00:00+00:00;3800-541;12.632000000000001;2024-02-15;07:00;3800;541
2024-02-04T17:00:00+00:00;3800-047;19.73;2024-02-04;17:00;3800;047
2024-02-24T08:00:00+00:00;3800-732;10.149201618229858;2024-02-24;08:00;3800;732
2024-02-07T18:00:00+00:00;3800-620;32.065999999999995;2024-02-07;18:00;3800;620
2024-02-01T20:00:00+00:00;3800-777;38.796;2024-02-01;20:00;3800;777
2024-02-16T09:00:00+00:00;3800-365;178.85622442034668;2024-02-16;09:00;3800;365
2024-02-12T15:00:00+00:00;3800-284;54.80713131506076;2024-02-12;15:00;3800;284
2024-02-09T18:00:00+00:00;3800-008;120.7410705954276;2024-02-09;18:00;3800;008
2024-02-29T06:00:00+00:00;3800-568;16.486;2024-02-29;06:00;3800;568
2024-02-02T04:00:00+00:00;3800-389;20.192;2024-02-02;04:00;3800;389
2024-02-16T09:00:00+00:00;3800-541;11.214;2024-02-16;09:00;3800;541
2024-02-15T07:00:00+00:00;3800-134;24.148889666780107;2024-02-15;07:00;3800;134
2024-02-16T16:00:00+00:00;3800-774;54.686065661315226;2024-02-16;16:00;3800;774
2024-02-20T06:00:00+00:00;3800-554;12.025430769065014;2024-02-20;06:00;3800;554
2024-02-23T14:00:00+00:00;3800-781;20.299999999999997;2024-02-23;14:00;3800;781
2024-02-16T02:00:00+00:00;3800-095;19.06489958782516;2024-02-16;02:00;3800;095
2024-02-28T20:00:00+00:00;3800-200;84.85905058188563;2024-02-28;20:00;3800;200
2024-02-18T15:00:00+00:00;3800-435;24.907999999999998;2024-02-18;15:00;3800;435
2024-02-08T23:00:00+00:00;3800-310;40.55729068550844;2024-02-08;23:00;3800;310
2024-02-16T00:00:00+00:00;3800-056;31.815818446914;2024-02-16;00:00;3800;056
2024-02-22T02:00:00+00:00;3800-901;234.98334671950593;2024-02-22;02:00;3800;901
2024-02-16T10:00:00+00:00;3800-166;154.83504507016372;2024-02-16;10:00;3800;166
2024-02-14T08:00:00+00:00;3800-912;42.54571329198051;2024-02-14;08:00;3800;912
2024-02-28T12:00:00+00:00;3800-683;20.43450406361673;2024-02-28;12:00;3800;683
2024-02-15T06:00:00+00:00;3800-284;37.07724885484583;2024-02-15;06:00;3800;284
2024-02-22T01:00:00+00:00;3800-581;10.803303641233548;2024-02-22;01:00;3800;581
2024-02-23T12:00:00+00:00;3800-149;140.90680767744328;2024-02-23;12:00;3800;149
2024-02-28T03:00:00+00:00;3800-585;16.408;2024-02-28;03:00;3800;585
2024-02-02T07:00:00+00:00;3800-801;18.223040905641916;2024-02-02;07:00;3800;801
2024-02-07T10:00:00+00:00;3800-089;9.002;2024-02-07;10:00;3800;089
2024-02-08T15:00:00+00:00;3800-522;43.246;2024-02-08;15:00;3800;522
2024-02-09T03:00:00+00:00;3800-194;9.069593148511878;2024-02-09;03:00;3800;194
2024-02-17T11:00:00+00:00;3800-801;22.326467229014625;2024-02-17;11:00;3800;801
2024-02-17T14:00:00+00:00;3800-340;38.658;2024-02-17;14:00;3800;340
2024-02-18T10:00:00+00:00;3800-114;36.964667642403526;2024-02-18;10:00;3800;114
2024-02-03T14:00:00+00:00;3800-220;55.13457096753869;2024-02-03;14:00;3800;220
2024-02-07T03:00:00+00:00;3800-170;7.243843036709843;2024-02-07;03:00;3800;170
2024-02-08T04:00:00+00:00;3800-005;36.491453647763684;2024-02-08;04:00;3800;005
2024-02-11T01:00:00+00:00;3800-614;15.068;2024-02-11;01:00;3800;614
2024-02-12T21:00:00+00:00;3800-630;26.98143835761624;2024-02-12;21:00;3800;630
2024-02-13T01:00:00+00:00;3800-213;37.138128957644994;2024-02-13;01:00;3800;213
2024-02-11T18:00:00+00:00;3800-152;23.933999999999997;2024-02-11;18:00;3800;152
2024-02-25T20:00:00+00:00;3800-243;67.63135324267112;2024-02-25;20:00;3800;243
2024-02-05T11:00:00+00:00;3800-638;13.241999999999999;2024-02-05;11:00;3800;638
2024-02-08T17:00:00+00:00;3800-163;25.316433617940177;2024-02-08;17:00;3800;163
2024-02-10T16:00:00+00:00;3800-625;94.4347695981451;2024-02-10;16:00;3800;625
2024-02-20T07:00:00+00:00;3800-773;19.99444783316184;2024-02-20;07:00;3800;773
2024-02-25T02:00:00+00:00;3800-205;33.45429303623804;2024-02-25;02:00;3800;205
2024-02-08T05:00:00+00:00;3800-793;19.840410633572294;2024-02-08;05:00;3800;793
2024-02-08T21:00:00+00:00;3800-568;43.834;2024-02-08;21:00;3800;568
2024-02-09T03:00:00+00:00;3800-005;35.176821748192566;2024-02-09;03:00;3800;005
2024-02-09T15:00:00+00:00;3800-111;326.4425406329665;2024-02-09;15:00;3800;111
2024-02-19T06:00:00+00:00;3800-595;19.060909773438947;2024-02-19;06:00;3800;595
2024-02-24T02:00:00+00:00;3800-182;13.17998472027856;2024-02-24;02:00;3800;182
2024-02-27T23:00:00+00:00;3800-121;35.60219613536292;2024-02-27;23:00;3800;121
2024-02-03T18:00:00+00:00;3800-557;58.94967391434287;2024-02-03;18:00;3800;557
2024-02-08T14:00:00+00:00;3800-102;22.728822991330205;2024-02-08;14:00;3800;102
2024-02-12T00:00:00+00:00;3800-367;16.578;2024-02-12;00:00;3800;367
2024-02-06T13:00:00+00:00;3800-693;29.621277967594033;2024-02-06;13:00;3800;693
2024-02-13T18:00:00+00:00;3800-745;57.38441229030413;2024-02-13;18:00;3800;745
2024-02-26T16:00:00+00:00;3800-735;17.790102138699165;2024-02-26;16:00;3800;735
2024-02-29T13:00:00+00:00;3800-297;15.011132241174494;2024-02-29;13:00;3800;297
2024-02-01T19:00:00+00:00;3800-121;42.07084401282893;2024-02-01;19:00;3800;121
2024-02-02T14:00:00+00:00;3800-317;100.804;2024-02-02;14:00;3800;317
2024-02-19T23:00:00+00:00;3800-545;15.164000000000001;2024-02-19;23:00;3800;545
2024-02-03T09:00:00+00:00;3800-343;31.058230504311364;2024-02-03;09:00;3800;343
2024-02-08T17:00:00+00:00;3800-785;16.140864753457596;2024-02-08;17:00;3800;785
2024-02-12T19:00:00+00:00;3800-224;18.544684124057554;2024-02-12;19:00;3800;224
2024-02-20T00:00:00+00:00;3800-767;41.116;2024-02-20;00:00;3800;767
2024-02-18T21:00:00+00:00;3800-319;33.846000000000004;2024-02-18;21:00;3800;319
2024-02-04T20:00:00+00:00;3800-036;34.504000000000005;2024-02-04;20:00;3800;036
2024-02-15T14:00:00+00:00;3800-716;26.6043208365301;2024-02-15;14:00;3800;716
2024-02-23T23:00:00+00:00;3800-226;75.936;2024-02-23;23:00;3800;226
2024-02-24T02:00:00+00:00;3800-407;35.878021042589566;2024-02-24;02:00;3800;407
2024-02-28T08:00:00+00:00;3800-771;40.886;2024-02-28;08:00;3800;771
2024-02-01T05:00:00+00:00;3800-395;9.5;2024-02-01;05:00;3800;395
2024-02-03T00:00:00+00:00;3800-907;11.102;2024-02-03;00:00;3800;907
2024-02-10T23:00:00+00:00;3800-381;92.4008668584604;2024-02-10;23:00;3800;381
2024-02-13T13:00:00+00:00;3800-738;47.7609323032361;2024-02-13;13:00;3800;738
2024-02-14T11:00:00+00:00;3800-389;19.07;2024-02-14;11:00;3800;389
2024-02-26T11:00:00+00:00;3800-707;8.19520974057466;2024-02-26;11:00;3800;707
2024-02-19T22:00:00+00:00;3800-781;18.032;2024-02-19;22:00;3800;781
2024-02-29T21:00:00+00:00;3800-164;95.79045240373492;2024-02-29;21:00;3800;164
2024-02-10T07:00:00+00:00;3800-597;23.922;2024-02-10;07:00;3800;597
2024-02-14T09:00:00+00:00;3800-567;14.048000000000002;2024-02-14;09:00;3800;567
2024-02-15T01:00:00+00:00;3800-588;19.135999999999996;2024-02-15;01:00;3800;588
2024-02-15T13:00:00+00:00;3800-579;29.86938492503641;2024-02-15;13:00;3800;579
2024-02-23T10:00:00+00:00;3800-119;12.11;2024-02-23;10:00;3800;119
2024-02-24T09:00:00+00:00;3800-435;15.416;2024-02-24;09:00;3800;435
2024-02-02T11:00:00+00:00;3800-164;112.88033952956134;2024-02-02;11:00;3800;164
2024-02-07T07:00:00+00:00;3800-389;21.516;2024-02-07;07:00;3800;389
2024-02-07T20:00:00+00:00;3800-790;104.106;2024-02-07;20:00;3800;790
2024-02-12T21:00:00+00:00;3800-389;35.266;2024-02-12;21:00;3800;389
2024-02-24T21:00:00+00:00;3800-234;56.112171868288726;2024-02-24;21:00;3800;234
2024-02-19T01:00:00+00:00;3800-638;12.388000000000002;2024-02-19;01:00;3800;638
2024-02-12T02:00:00+00:00;3800-259;26.88771681986308;2024-02-12;02:00;3800;259
2024-02-22T20:00:00+00:00;3800-144;47.07523035232704;2024-02-22;20:00;3800;144
2024-02-24T19:00:00+00:00;3800-326;65.06802742517232;2024-02-24;19:00;3800;326
2024-02-10T04:00:00+00:00;3800-121;22.191092708260552;2024-02-10;04:00;3800;121
2024-02-10T14:00:00+00:00;3800-121;19.235622087916212;2024-02-10;14:00;3800;121
2024-02-18T03:00:00+00:00;3800-118;11.14508883555282;2024-02-18;03:00;3800;118
2024-02-27T19:00:00+00:00;3800-166;166.88715145885243;2024-02-27;19:00;3800;166
2024-02-24T13:00:00+00:00;3800-579;41.02379981170459;2024-02-24;13:00;3800;579
2024-02-08T22:00:00+00:00;3800-638;32.519999999999996;2024-02-08;22:00;3800;638
2024-02-09T18:00:00+00:00;3800-149;116.43484222344931;2024-02-09;18:00;3800;149
2024-02-13T17:00:00+00:00;3800-197;43.157852867505866;2024-02-13;17:00;3800;197
2024-02-20T14:00:00+00:00;3800-200;97.8211801275508;2024-02-20;14:00;3800;200
2024-02-26T10:00:00+00:00;3800-234;42.903450239158836;2024-02-26;10:00;3800;234
2024-02-06T13:00:00+00:00;3800-371;118.68495373869092;2024-02-06;13:00;3800;371
2024-02-15T01:00:00+00:00;3800-565;27.746738802335273;2024-02-15;01:00;3800;565
2024-02-19T03:00:00+00:00;3800-212;5.1391230439125515;2024-02-19;03:00;3800;212
2024-02-19T06:00:00+00:00;3800-223;50.95645211524125;2024-02-19;06:00;3800;223
2024-02-24T19:00:00+00:00;3800-767;78.06;2024-02-24;19:00;3800;767
2024-02-19T06:00:00+00:00;3800-438;76.96115338868336;2024-02-19;06:00;3800;438
2024-02-22T04:00:00+00:00;3800-564;28.733555673423563;2024-02-22;04:00;3800;564
2024-02-26T04:00:00+00:00;3800-435;9.334000000000001;2024-02-26;04:00;3800;435
2024-02-27T13:00:00+00:00;3800-036;19.87;2024-02-27;13:00;3800;036
2024-02-04T17:00:00+00:00;3800-114;22.86120942134242;2024-02-04;17:00;3800;114
2024-02-05T04:00:00+00:00;3800-739;54.838047695974964;2024-02-05;04:00;3800;739
2024-02-07T11:00:00+00:00;3800-816;74.494;2024-02-07;11:00;3800;816
2024-02-13T06:00:00+00:00;3800-730;16.514500263958226;2024-02-13;06:00;3800;730
2024-02-02T00:00:00+00:00;3800-072;46.948124099016546;2024-02-02;00:00;3800;072
2024-02-18T01:00:00+00:00;3800-523;44.49250705380247;2024-02-18;01:00;3800;523
2024-02-10T08:00:00+00:00;3800-508;24.305999999999997;2024-02-10;08:00;3800;508
2024-02-27T02:00:00+00:00;3800-855;25.616;2024-02-27;02:00;3800;855
2024-02-03T20:00:00+00:00;3800-533;403.9877237165065;2024-02-03;20:00;3800;533
2024-02-11T04:00:00+00:00;3800-597;22.23;2024-02-11;04:00;3800;597
2024-02-18T00:00:00+00:00;3800-263;14.878;2024-02-18;00:00;3800;263
2024-02-20T04:00:00+00:00;3800-142;14.565843695384565;2024-02-20;04:00;3800;142
2024-02-07T05:00:00+00:00;3800-306;36.79600000000001;2024-02-07;05:00;3800;306
2024-02-07T13:00:00+00:00;3800-144;58.78436111586789;2024-02-07;13:00;3800;144
2024-02-13T11:00:00+00:00;3800-557;51.57596369992571;2024-02-13;11:00;3800;557
2024-02-18T06:00:00+00:00;3800-224;10.151808163079096;2024-02-18;06:00;3800;224
2024-02-06T11:00:00+00:00;3800-220;57.232549420985364;2024-02-06;11:00;3800;220
2024-02-25T01:00:00+00:00;3800-523;43.7613906335479;2024-02-25;01:00;3800;523
2024-02-22T19:00:00+00:00;3800-381;711.1456424318773;2024-02-22;19:00;3800;381
2024-02-06T10:00:00+00:00;3800-243;68.6815515689447;2024-02-06;10:00;3800;243
2024-02-12T12:00:00+00:00;3800-803;22.58;2024-02-12;12:00;3800;803
2024-02-12T21:00:00+00:00;3800-683;16.983974504863486;2024-02-12;21:00;3800;683
2024-02-29T03:00:00+00:00;3800-055;2853.7978865127293;2024-02-29;03:00;3800;055
2024-02-08T23:00:00+00:00;3800-003;202.3411564337108;2024-02-08;23:00;3800;003
2024-02-17T16:00:00+00:00;3800-111;75.35490013272634;2024-02-17;16:00;3800;111
2024-02-23T23:00:00+00:00;3800-522;39.51;2024-02-23;23:00;3800;522
2024-02-28T19:00:00+00:00;3800-213;69.38727831720915;2024-02-28;19:00;3800;213
2024-02-12T09:00:00+00:00;3800-217;57.582111051021826;2024-02-12;09:00;3800;217
2024-02-13T05:00:00+00:00;3800-316;29.758;2024-02-13;05:00;3800;316
2024-02-14T02:00:00+00:00;3800-216;7.44182720522448;2024-02-14;02:00;3800;216
2024-02-23T12:00:00+00:00;3800-036;26.004;2024-02-23;12:00;3800;036
2024-02-10T10:00:00+00:00;3800-730;37.72207441399756;2024-02-10;10:00;3800;730
2024-02-11T13:00:00+00:00;3800-783;91.57040611884412;2024-02-11;13:00;3800;783
2024-02-13T02:00:00+00:00;3800-248;36.8620425860298;2024-02-13;02:00;3800;248
2024-02-03T20:00:00+00:00;3800-166;137.84483210516584;2024-02-03;20:00;3800;166
2024-02-15T23:00:00+00:00;3800-543;16.406;2024-02-15;23:00;3800;543
2024-02-27T23:00:00+00:00;3800-543;22.43;2024-02-27;23:00;3800;543
2024-02-29T13:00:00+00:00;3800-293;36.19200000000001;2024-02-29;13:00;3800;293
2024-02-01T00:00:00+00:00;3800-234;32.71882604549667;2024-02-01;00:00;3800;234
2024-02-04T13:00:00+00:00;3800-775;33.70735772379173;2024-02-04;13:00;3800;775
2024-02-22T02:00:00+00:00;3800-276;46.125514838015626;2024-02-22;02:00;3800;276
2024-02-23T02:00:00+00:00;3800-004;37.280535920075565;2024-02-23;02:00;3800;004
2024-02-08T15:00:00+00:00;3800-163;23.32252942066341;2024-02-08;15:00;3800;163
2024-02-09T11:00:00+00:00;3800-149;137.8982622159187;2024-02-09;11:00;3800;149
2024-02-09T13:00:00+00:00;3800-628;397.655240562682;2024-02-09;13:00;3800;628
2024-02-10T16:00:00+00:00;3800-277;86.12367797143206;2024-02-10;16:00;3800;277
2024-02-12T21:00:00+00:00;3800-356;41.98770583168324;2024-02-12;21:00;3800;356
2024-02-16T05:00:00+00:00;3800-816;23.075999999999997;2024-02-16;05:00;3800;816
2024-02-08T02:00:00+00:00;3800-104;6.812716045938297;2024-02-08;02:00;3800;104
2024-02-28T04:00:00+00:00;3800-103;25.119283269768832;2024-02-28;04:00;3800;103
2024-02-01T19:00:00+00:00;3800-196;65.36158189199487;2024-02-01;19:00;3800;196
2024-02-04T04:00:00+00:00;3800-326;24.1916335608272;2024-02-04;04:00;3800;326
2024-02-17T01:00:00+00:00;3800-144;42.40151459458334;2024-02-17;01:00;3800;144
2024-02-18T04:00:00+00:00;3800-356;25.908316491575125;2024-02-18;04:00;3800;356
2024-02-02T06:00:00+00:00;3800-263;13.346;2024-02-02;06:00;3800;263
2024-02-05T11:00:00+00:00;3800-128;26.840000000000003;2024-02-05;11:00;3800;128
2024-02-09T18:00:00+00:00;3800-196;70.32341918347134;2024-02-09;18:00;3800;196
2024-02-10T02:00:00+00:00;3800-756;20.024;2024-02-10;02:00;3800;756
2024-02-13T07:00:00+00:00;3800-236;12.323685017935361;2024-02-13;07:00;3800;236
2024-02-21T21:00:00+00:00;3800-852;33.868;2024-02-21;21:00;3800;852
2024-02-24T13:00:00+00:00;3800-142;40.32217802736138;2024-02-24;13:00;3800;142
2024-02-28T17:00:00+00:00;3800-785;13.361825410941858;2024-02-28;17:00;3800;785
2024-02-10T03:00:00+00:00;3800-523;43.11719390106747;2024-02-10;03:00;3800;523
2024-02-01T00:00:00+00:00;3800-303;49.544000000000004;2024-02-01;00:00;3800;303
2024-02-02T20:00:00+00:00;3800-339;31.631999999999998;2024-02-02;20:00;3800;339
2024-02-04T19:00:00+00:00;3800-169;48.5138773380712;2024-02-04;19:00;3800;169
2024-02-07T22:00:00+00:00;3800-378;61.653999999999996;2024-02-07;22:00;3800;378
2024-02-09T13:00:00+00:00;3800-198;45.42290229322912;2024-02-09;13:00;3800;198
2024-02-22T08:00:00+00:00;3800-091;60.366863512134564;2024-02-22;08:00;3800;091
2024-02-23T20:00:00+00:00;3800-597;57.616;2024-02-23;20:00;3800;597
2024-02-23T16:00:00+00:00;3800-903;90.25317786509464;2024-02-23;16:00;3800;903
2024-02-27T10:00:00+00:00;3800-885;48.1251243094326;2024-02-27;10:00;3800;885
2024-02-03T18:00:00+00:00;3800-423;31.262;2024-02-03;18:00;3800;423
2024-02-05T09:00:00+00:00;3800-223;84.09509784653983;2024-02-05;09:00;3800;223
2024-02-19T09:00:00+00:00;3800-389;17.944;2024-02-19;09:00;3800;389
2024-02-20T10:00:00+00:00;3800-604;15.528926720741786;2024-02-20;10:00;3800;604
2024-02-28T02:00:00+00:00;3800-909;17.33;2024-02-28;02:00;3800;909
2024-02-26T13:00:00+00:00;3800-204;56.263999999999996;2024-02-26;13:00;3800;204
2024-02-26T21:00:00+00:00;3800-428;40.03778113976;2024-02-26;21:00;3800;428
2024-02-26T23:00:00+00:00;3800-531;60.99125378408246;2024-02-26;23:00;3800;531
2024-02-12T22:00:00+00:00;3800-774;46.32867342270504;2024-02-12;22:00;3800;774
2024-02-19T16:00:00+00:00;3800-614;12.782;2024-02-19;16:00;3800;614
2024-02-29T15:00:00+00:00;3800-799;38.19312006850389;2024-02-29;15:00;3800;799
2024-02-06T00:00:00+00:00;3800-611;18.568;2024-02-06;00:00;3800;611
2024-02-10T13:00:00+00:00;3800-038;17.536;2024-02-10;13:00;3800;038
2024-02-18T12:00:00+00:00;3800-245;59.893663264114956;2024-02-18;12:00;3800;245
2024-02-23T20:00:00+00:00;3800-223;118.36564256428639;2024-02-23;20:00;3800;223
2024-02-26T06:00:00+00:00;3800-389;26.496;2024-02-26;06:00;3800;389
2024-02-26T06:00:00+00:00;3800-370;11.469999999999999;2024-02-26;06:00;3800;370
2024-02-28T20:00:00+00:00;3800-599;18.098;2024-02-28;20:00;3800;599
2024-02-10T17:00:00+00:00;3800-437;300.76682552706814;2024-02-10;17:00;3800;437
2024-02-23T06:00:00+00:00;3800-716;15.518521430107754;2024-02-23;06:00;3800;716
2024-02-23T06:00:00+00:00;3800-707;8.252516375475365;2024-02-23;06:00;3800;707
2024-02-29T06:00:00+00:00;3800-047;12.940000000000001;2024-02-29;06:00;3800;047
2024-02-03T08:00:00+00:00;3800-783;55.40204840692288;2024-02-03;08:00;3800;783
2024-02-08T07:00:00+00:00;3800-800;33.548047280571154;2024-02-08;07:00;3800;800
2024-02-29T11:00:00+00:00;3800-633;12.534325448141903;2024-02-29;11:00;3800;633
2024-02-23T19:00:00+00:00;3800-730;48.342118280173594;2024-02-23;19:00;3800;730
2024-02-06T01:00:00+00:00;3800-091;45.145041383334686;2024-02-06;01:00;3800;091
2024-02-12T06:00:00+00:00;3800-013;11.036000000000001;2024-02-12;06:00;3800;013
2024-02-03T00:00:00+00:00;3800-149;45.55087362065916;2024-02-03;00:00;3800;149
2024-02-27T14:00:00+00:00;3800-588;33.236000000000004;2024-02-27;14:00;3800;588
2024-02-29T06:00:00+00:00;3800-025;43.587864550893414;2024-02-29;06:00;3800;025
2024-02-27T18:00:00+00:00;3800-855;71.074;2024-02-27;18:00;3800;855
2024-02-15T18:00:00+00:00;3800-885;69.28557316528861;2024-02-15;18:00;3800;885
2024-02-05T09:00:00+00:00;3800-112;231.860135962201;2024-02-05;09:00;3800;112
2024-02-06T14:00:00+00:00;3800-731;24.14795940058952;2024-02-06;14:00;3800;731
2024-02-10T12:00:00+00:00;3800-151;27.020000000000003;2024-02-10;12:00;3800;151
2024-02-14T21:00:00+00:00;3800-428;40.277782440959996;2024-02-14;21:00;3800;428
2024-02-16T00:00:00+00:00;3800-161;52.532000000000004;2024-02-16;00:00;3800;161
2024-02-25T10:00:00+00:00;3800-317;78.254;2024-02-25;10:00;3800;317
2024-02-26T19:00:00+00:00;3800-035;48.048;2024-02-26;19:00;3800;035
2024-02-08T20:00:00+00:00;3800-367;33.202;2024-02-08;20:00;3800;367
2024-02-25T21:00:00+00:00;3800-126;44.01391445063703;2024-02-25;21:00;3800;126
2024-02-22T13:00:00+00:00;3800-775;24.320661619158052;2024-02-22;13:00;3800;775
2024-02-01T07:00:00+00:00;3800-552;74.6722597627731;2024-02-01;07:00;3800;552
2024-02-03T21:00:00+00:00;3800-339;36.028;2024-02-03;21:00;3800;339
2024-02-14T02:00:00+00:00;3800-907;8.174;2024-02-14;02:00;3800;907
2024-02-29T23:00:00+00:00;3800-388;64.348156179451;2024-02-29;23:00;3800;388
2024-02-05T17:00:00+00:00;3800-168;49.57426070381429;2024-02-05;17:00;3800;168
2024-02-06T07:00:00+00:00;3800-740;59.418;2024-02-06;07:00;3800;740
2024-02-11T16:00:00+00:00;3800-090;15.428;2024-02-11;16:00;3800;090
2024-02-27T17:00:00+00:00;3800-018;36.44800836443185;2024-02-27;17:00;3800;018
